"Bubuk lada putih ",No,No,Nonaktif
"BUBUK LECI ",No,No,Nonaktif
"Bubuk Salmon (Salmon Powder)",No,No,Aktif
"Bubuk Sayuran (tomat, wortel, sawi, kentang, paprika hijau, bawang putih, seledri)",No,No,Nonaktif
"Bubuk Teh Hijau",No,No,Nonaktif
"Bubur Beras (Rice Porridge)",No,No,Aktif
"Bubur Beras Merah (Brown Rice Porridge)",No,No,Aktif
"Bubur Buah Apel (Apple Pulp)",No,No,Aktif
"Bubur Buah Aprikot (Apricot Pulp)",No,No,Aktif
"Bubur Buah Arbei (Arbei Pulp)",No,No,Aktif
"Bubur Buah Jambu (Guava Pulp)",No,No,Aktif
"Bubur Buah Jambu Merah",No,No,Aktif
"Bubur Buah Jeruk (Orange Pulp)",No,No,Aktif
"Bubur Buah Lemon (Lemon Pulp)",No,No,Aktif
"Bubur Buah Mangga (Mango Pulp)",No,No,Aktif
"Bubur Buah Mulberry (Mulberry Pulp)",No,No,Aktif
"Bubur Buah Nanas (Pineapple Pulp)",No,No,Aktif
"Bubur Buah Persik (Peach Pulp)",No,No,Aktif
"Bubur Buah Sirsak (Soursop Pulp)",No,No,Aktif
"Bubur Buah Stroberi (Strawberry Pulp)",No,No,Aktif
"Bubur Buah Tomat (Tomato Pulp)",No,No,Aktif
"BUBUR GANDUM (WHEAT PORRIDGE)",No,No,Aktif
"BUBUR KACANG (PEANUT PORRIDGE)",No,No,Aktif
"BUBUR KACANG HIJAU (MUNGBEAN PORRIDGE)",No,No,Aktif
"Bubur Kacang Merah (Red Bean Porridge)",No,No,Aktif
"Bubur Kentang  (Potato Pulp)",No,No,Aktif
"BUBUR KULIT JERUK (ORANGE PEEL PULP)",No,No,Aktif
"Bubur Labu Kuning (Pumpkin Porridge)",No,No,Aktif
"Bubur Susu (Milk Porridge)",No,No,Aktif
"BUCKWHEAT (BUCKWHEAT)",No,No,Nonaktif
"BUCKWHEAT (BUCKWHEAT-FAGOPYRUM ESCULENTUM)",No,No,Aktif
"Bulir Jeruk (Orange Pulp)",No,No,Aktif
"Bulir Jeruk Valencia (Valencia Orange Pulp)",No,No,Aktif
"BUMBU  RASA KEJU (CHEESE FLAVORED SEASONING)",No,No,Aktif
"BUMBU ABON AYAM (CHICKEN FLOSS SEASONING)",No,No,Aktif
"BUMBU ASAM MANIS (SWEET AND SOUR SEASONING)",No,No,Aktif
"Bumbu Ayam (Chicken Seasoning)",No,No,Aktif
"Bumbu Ayam Bawang (Garlic Chicken Seasoning)",No,No,Aktif
"Bumbu Ayam Goreng (Fried Chicken Seasoning)",No,No,Aktif
"Bumbu Ayam Pedas (Spicy Chicken Seasoning)",No,No,Aktif
"Bumbu Balado (Balado Seasoning)",No,No,Aktif
"Bumbu Barbekiu (Barbeque Seasoning)",No,No,Aktif
"BUMBU BAWANG PEDAS (SPICY GARLIC SEASONING)",No,No,Aktif
"BUMBU CUMI BAKAR (GRILLED SQUID SEASONING)",No,No,Aktif
"Bumbu Daging Sapi (Beef Flavor)",No,No,Aktif
"Bumbu Ekstrak Daging Ayam (Chicken Extract Seasoning)",No,No,Aktif
"Bumbu Frankfurter (Frankfurter Seasoning)",No,No,Aktif
"BUMBU GULAI (GULAI SEASONING)",No,No,Aktif
"BUMBU IGA SAPI (SPICES OR SEASONING FOR BEEF RIBS)",No,No,Aktif
"BUMBU IKAN TERI (ANCHOVY SEASONING)",No,No,Aktif
"BUMBU JAGUNG (CORN SEASONING)",No,No,Aktif
"BUMBU JAGUNG BAKAR (ROASTED CORN SEASONING)",No,No,Aktif
"BUMBU KACANG MERAH (RED BEAN SEASONING)",No,No,Aktif
"BUMBU KARI (CURRY SEASONING)",No,No,Aktif
"BUMBU KARI DAGING (MEAT CURRY SEASONING)",No,No,Aktif
"BUMBU KARI IKAN (FISH CURRY SEASONING)",No,No,Aktif
"BUMBU KEJU BURGER (CHEESEBURGER SEASONING)",No,No,Aktif
"Bumbu Kentang Barbekiu (Barbeque Potato Seasoning)",No,No,Aktif
"BUMBU KIMCHI (KIMCHI SEASONING)",No,No,Aktif
"BUMBU KRIM ASAM (SOUR CREAM SEASONING)",No,No,Aktif
"BUMBU KRIM MENTEGA (BUTTERCREAM SEASONING)",No,No,Aktif
"Bumbu Lainnya (Seasoning)",No,No,Aktif
"BUMBU MI GORENG (FRIED NOODLE SEASONING)",No,No,Aktif
"BUMBU MINYAK UDANG (OIL SEASONING SHRIMP)",Yes,Yes,Aktif
"BUMBU NGOHIONG (NGOHIONG SEASONING)",No,No,Aktif
"BUMBU OPOR (OPOR SEASONING)",No,No,Aktif
"BUMBU OTAK-OTAK (OTAK-OTAK SEASONING)",No,No,Aktif
"Bumbu Pasta (Paste Seasoning)",No,No,Aktif
"Bumbu Pedas (Spicy Seasoning)",No,No,Aktif
"BUMBU PERENDAM (MARINADE SEASONING)",No,No,Aktif
"Bumbu Petis Bubuk",No,No,Aktif
"Bumbu Pizza (Pizza Seasoning)",No,No,Aktif
"BUMBU RASA (FLAVORED SEASONING)",No,No,Aktif
"BUMBU RASA ASAM PEDAS (SOUR SPICY FLAVORED SEASONING)",No,No,Aktif
"Bumbu Rasa Ayam (Chicken Flavored Seasoning)",No,No,Aktif
"Bumbu Rasa Ayam Bakar (Grilled Chicken Flavor Seasoning)",No,No,Aktif
"Bumbu Rasa Ayam Panggang (Roasted Chicken Flavor Seasoning)",No,No,Aktif
"BUMBU RASA BABI (PORK OR BACON FLAVORED SEASONING)",No,No,Aktif
"BUMBU RASA BALADO (BALADO FLAVORED SEASONING)",No,No,Aktif
"BUMBU RASA BAWANG (ONION FLAVORED SEASONING)",No,No,Aktif
"BUMBU RASA BAWANG PUTIH (GARLIC FLAVORED SEASONING)",No,No,Aktif
"BUMBU RASA COKELAT (CHOCOLATE FLAVORED SEASONING)",No,No,Aktif
"BUMBU RASA DAGING SAPI (BEEF FLAVORED SEASONING )",No,No,Aktif
"BUMBU RASA DENDENG (JERKY FLAVORED SEASONING)",No,No,Aktif
"BUMBU RASA IKAN (FISH FLAVORED SEASONING)",No,No,Aktif
"Bumbu Rasa Kacang Polong",No,No,Nonaktif
"BUMBU RASA KALDU AYAM (CHICKEN BROTH FLAVORED SEASONING)",No,No,Aktif
"BUMBU RASA KARAMEL (CARAMEL FLAVOURED SEASONING)",No,No,Aktif
"BUMBU RASA KARAMEL BAWANG (CARAMELIZED ONION FLAVORED SEASONING)",No,No,Aktif
"BUMBU RASA KARI AYAM (CHICKEN CURRY FLAVORED  SEASONING)",No,No,Aktif
"BUMBU RASA KEJU (CHEESE FLAVORED SEASONING)",No,No,Nonaktif
"BUMBU RASA KENTANG GORENG (FRENCH FRIES FLAVORED SEASONING)",No,No,Aktif
"BUMBU RASA LEMON (LEMON FLAVORED SEASONING)",No,No,Aktif
