release,date,author,status,maturity,version,first,distribution,abstract
Sah-Manual-0.002,2021-07-28T06:00:27,PERLANCAR,latest,released,0.002,,Sah-Manual,"Documentation for Sah"
Perinci-Manual-0.006,2021-07-28T03:07:01,PERLANCAR,latest,released,0.006,,Perinci-Manual,"Extra documentation for Perinci"
Sah-Manual-0.001,2021-07-28T03:05:34,PERLANCAR,backpan,released,0.001,1,Sah-Manual,"Documentation for Sah"
Perinci-Manual-0.005,2021-07-28T01:57:00,PERLANCAR,backpan,released,0.005,,Perinci-Manual,"Extra documentation for Perinci"
PDF-API2-2.041,2021-07-28T01:08:38,SSIMMS,cpan,released,2.041,,PDF-API2,"Facilitates the creation and modification of PDF files"
Perinci-Manual-0.004,2021-07-28T00:06:29,PERLANCAR,backpan,released,0.004,,Perinci-Manual,"Extra documentation for Perinci"
Desktop-Open-0.002,2021-07-28T00:05:02,PERLANCAR,latest,released,0.002,,Desktop-Open,"Open a file or URL in the user's preferred application"
Playwright-0.011,2021-07-27T23:14:12,TEODESIAN,cpan,released,0.011,,Playwright,"Perl client for Playwright"
Test2-Plugin-Cover-0.000024,2021-07-27T20:10:59,EXODIST,cpan,released,0.000024,,Test2-Plugin-Cover,"Fast and Minimal file coverage info."
EekBoek-2.05,2021-07-27T19:45:28,JV,backpan,released,2.05,,EekBoek,"Bookkeeping software for small and medium-size businesses"
IO-AIO-4.76,2021-07-27T18:47:09,MLEHMANN,latest,released,4.76,,IO-AIO,"Asynchronous/Advanced Input/Output"
Playwright-0.010,2021-07-27T16:59:33,TEODESIAN,cpan,released,0.010,,Playwright,"Perl client for Playwright"
Tree-Term-20210727,2021-07-27T16:36:32,PRBRENAN,cpan,released,20210727,,Tree-Term,"Create a parse tree from an array of terms representing an expression."
Mojo-Leds-1.01,2021-07-27T15:56:59,EBRUNI,cpan,released,1.01,,Mojo-Leds,"Leds aka Light Environment (emi) for Development System based on Mojolicious"
Connector-1.41,2021-07-27T15:33:30,MRSCOTTY,latest,released,1.41,,Connector,"a generic connection to a hierarchical-structured data set"
Regexp-Pattern-License-v3.8.0,2021-07-27T15:07:40,JONASS,cpan,released,v3.8.0,,Regexp-Pattern-License,"regular expressions for legal licenses"
Mojo-Leds-1.00,2021-07-27T14:01:37,EBRUNI,cpan,released,1.00,,Mojo-Leds,"Leds aka Light Environment (emi) for Development System based on Mojolicious"
Mojo-Leds-0.03,2021-07-27T13:54:53,EBRUNI,cpan,released,0.03,,Mojo-Leds,"Leds aka Light Environment (emi) for Development System based on Mojolicious"
DNS-Unbound-0.24,2021-07-27T13:07:05,FELIPE,cpan,released,0.24,,DNS-Unbound,"libunbound in Perl"
Test-NoWarnings-1.06,2021-07-27T12:03:38,HAARG,latest,released,1.06,,Test-NoWarnings,"Make sure you didn't emit any warnings while testing"
HTML-TableContentParser-0.304_01,2021-07-27T11:55:50,WYANT,backpan,developer,0.304_01,,HTML-TableContentParser,"Extract tables from HTML"
Mail-Message-3.011,2021-07-27T11:33:45,MARKOV,latest,released,3.011,,Mail-Message,"Processing MIME messages"
Mojo-Leds-0.02,2021-07-27T11:14:20,EBRUNI,cpan,released,0.02,,Mojo-Leds,"Leds aka Light Environment (emi) for Development System based on Mojolicious"
Object-Pad-0.47-TRIAL,2021-07-27T11:12:53,PEVANS,backpan,developer,0.47,,Object-Pad,"a simple syntax for lexical slot-based objects"
Archive-Tar-2.40,2021-07-27T09:51:54,BINGOS,latest,released,2.40,,Archive-Tar,"Manipulates TAR archives"
Connector-1.39,2021-07-27T09:22:12,MRSCOTTY,cpan,released,1.39,,Connector,"a generic connection to a hierarchical-structured data set"
Getopt-EX-Hashed-0.9901,2021-07-27T08:21:11,UTASHIRO,cpan,released,0.9901,,Getopt-EX-Hashed,"Hash store object automation"
Text-PO-v0.1.1,2021-07-27T08:20:59,JDEGUEST,cpan,released,v0.1.1,,Text-PO,"Read and write PO files"
Data-Record-Serialize-0.23,2021-07-27T03:21:05,DJERIUS,cpan,released,0.23,,Data-Record-Serialize,"Flexible serialization of a record"
Net-FullAuto-1.0000624,2021-07-27T02:19:37,REEDFISH,backpan,released,1.0000624,,Net-FullAuto,"Perl Based Secure Distributed Computing Network Process"
Bencher-Scenario-crypt-0.020,2021-07-27T00:05:29,PERLANCAR,latest,released,0.020,,Bencher-Scenario-crypt,"Benchmark various algorithms of crypt()"
Test2-Harness-UI-0.000075,2021-07-26T21:14:40,EXODIST,cpan,released,0.000075,,Test2-Harness-UI,"Web interface for viewing and inspecting yath test logs"
Net-Async-Redis-3.015,2021-07-26T19:49:18,TEAM,latest,released,3.015,,Net-Async-Redis,"Redis support for IO::Async"
Playwright-0.009,2021-07-26T19:19:00,TEODESIAN,cpan,released,0.009,,Playwright,"Perl client for Playwright"
Test2-Suite-0.000141,2021-07-26T19:17:33,EXODIST,latest,released,0.000141,,Test2-Suite,"Distribution with a rich set of tools built upon the Test2 framework."
Test2-Tools-EventDumper-0.000013,2021-07-26T19:09:33,EXODIST,latest,released,0.000013,,Test2-Tools-EventDumper,"*DEPRECATED* Tool for dumping Test2::Event structures."
Test-Simple-1.302186,2021-07-26T19:01:48,EXODIST,cpan,released,1.302186,,Test-Simple,"Basic utilities for writing tests."
